"etiqueta","pregunta"
"cve_unica_sec",""
"punto",""
"folio","Folio"
"edo","Estado"
"municipio",""
"dto",""
"secc",""
"tipo","TIPO"
"enc","Encuestador"
"version",""
"mza","Entrevista en manzana"
"inicio",""
"filtro",""
"b","Género"
"c","¿Qué edad tiene usted?"
"p1","1. En su opinión, ¿cuál es el principal problema que hay en el País hoy en día?"
"p3","3. En general, ¿usted aprueba o desaprueba la forma como Andrés Manuel López Obrador está haciendo su trabajo como Presidente de la República?"
"p4","4. Si hoy hubiera elecciones para decidir si Andrés Manuel López Obrador debe permanecer en el cargo o debe renunciar, ¿usted cómo votaría?"
"p5","5. ¿Cuál cree usted que es la principal causa de la corrupción en México?"
"p6a","6A. ¿Usted diría que se justifica Dar una mordida para evitar una detención injusta o no se justifica?"
"p6b","6B. ¿Usted diría que se justifica Dar una propina para acelerar un trámite o no se justifica?"
"p6c","6C. ¿Usted diría que se justifica Asistir a un evento político para recibir algún programa social  o no se justifica?"
"p6d","6D. ¿Usted diría que se justifica Usar un puesto público para beneficiar a un familiar, a un amigo o a un conocido o no se justifica?"
"p7","7. ¿En dónde cree usted que se dan más actos de corrupción?"
"p8a","8a. En general, ¿cuánta corrupción cree usted que hay en Escuelas públicas?"
"p8b","8b. En general, ¿cuánta corrupción cree usted que hay en Ministerios públicos?"
"p8c","8c. En general, ¿cuánta corrupción cree usted que hay en Autoridades electorales?"
"p8d","8d. En general, ¿cuánta corrupción cree usted que hay en El ISSSTE ?"
"p8e","8e. En general, ¿cuánta corrupción cree usted que hay en La Policía Federal?"
"p8f","8f. En general, ¿cuánta corrupción cree usted que hay en Los partidos políticos?"
"p8g","8g. En general, ¿cuánta corrupción cree usted que hay en Los medios de comunicación?"
"p8h","8h. En general, ¿cuánta corrupción cree usted que hay en El IMSS?"
"p8i","8i. En general, ¿cuánta corrupción cree usted que hay en El Ejército?"
"p8j","8j. En general, ¿cuánta corrupción cree usted que hay en La Comisión Federal de Electricidad (CFE)?"
"p8k","8k. En general, ¿cuánta corrupción cree usted que hay en PEMEX?"
"p8l","8l. En general, ¿cuánta corrupción cree usted que hay en La policía de tránsito?"
"p8m","8m. En general, ¿cuánta corrupción cree usted que hay en La Suprema Corte de Justicia?"
"p8n","8n. En general, ¿cuánta corrupción cree usted que hay en La Marina?"
"p8o","8o. En general, ¿cuánta corrupción cree usted que hay en Entre los grandes empresarios?"
"p8p","8p. En general, ¿cuánta corrupción cree usted que hay en Las cárceles y reclusorios?"
"p8q","8q. En general, ¿cuánta corrupción cree usted que hay en La Guardia Nacional?"
"p8r","8r. En general, ¿cuánta corrupción cree usted que hay en Entre los pequeños negocios y comercios?"
"p8s","8s. En general, ¿cuánta corrupción cree usted que hay en Jueces y magistrados?"
"p8t","8t. En general, ¿cuánta corrupción cree usted que hay en El INSABI (Instituto de Salud para el Bienestar)?"
"p9a","9a. ¿Usted diría que El Gobernador o Jefa de Gobierno de su entidad es honesto o es corrupto?"
"p9b","9b. ¿Usted diría que El Presidente de la República es honesto o es corrupto?"
"p9c","9c. ¿Usted diría que El Alcalde o Presidente Municipal es honesto o es corrupto?"
"p10","10. ¿Usted cree que en México se respetan las leyes…?"
"p11","11. ¿Usted cree que hoy en día los actos de corrupción en México se castigan…?"
"p12","12. ¿Con qué frecuencia cree que en México se lleven a cabo actos de corrupción?"
"p13","13. ¿Cree usted que en nuestro país denunciar un acto de corrupción sirve o es inútil?"
"p14","14. ¿Usted sabe en dónde denunciar un acto de corrupción?"
"p15","15. En los últimos 12 meses, ¿cuántas de las siguientes actividades ha realizado? No necesito que me diga cuáles, únicamente cuántas"
"p16","16. En los últimos 12 meses, ¿para realizar algún trámite o recibir algún servicio o apoyo gratuito del gobierno le solicitaron una mordida, propina o un favor?"
"p17","17. ¿Cuántas veces tuvo usted que dar ‘mordida’, propina o hacer algún favor en el último año para realizar o acelerar un trámite o servicio?"
"p18","18. La última vez que sucedió esto, ¿cuánto pagó o a cuánto dinero equivaldría el favor solicitado?"
"p19","19. ¿Qué tan importante es que los ciudadanos puedan saber si los funcionarios, políticos y representantes populares tienen familiares o amigos en el gobierno?"
"p20","20. ¿Qué tan importante es que los ciudadanos puedan saber si los funcionarios, políticos y representantes populares tienen empresas o negocios privados?"
"p21","21. ¿Usted considera que hacer pública esta información ayuda a combatir la corrupción en el gobierno?"
"p22","22. ¿Usted está a favor o en contra de que la corrupción sea considerada un delito TAN grave como el narcotráfico?"
"p23","23. En su opinión, ¿el gobierno actual aplica la ley a todos por igual o le da trato preferencial a algunos?"
"p24","24. En los últimos 12 meses, ¿usted denunció algún acto de corrupción?"
"p25","25. ¿Tuvo algún resultado su denuncia?"
"p26","26. ¿Por qué no denunció?"
"p27","27. En los últimos 12 meses, ¿diría usted que la corrupción en el País ha aumentado o ha disminuido?"
"p28","28. En los próximos 12 meses, ¿cree usted que la corrupción en el País aumentará o disminuirá?"
"p29a","29A. En los últimos 12 meses, ¿se enteró de algún familiar o conocido que haya tenido que dar una mordida o soborno Para acelerar algún trámite de gobierno?"
"p29b","29B. En los últimos 12 meses, ¿se enteró de algún familiar o conocido que haya tenido que dar una mordida o soborno Para ser atendido en una unidad de salud pública?"
"p29c","29C. En los últimos 12 meses, ¿se enteró de algún familiar o conocido que haya tenido que dar una mordida o soborno Para afiliarlo a un programa social ?"
"p29d","29D. En los últimos 12 meses, ¿se enteró de algún familiar o conocido que haya tenido que dar una mordida o soborno Para obtener una plaza o puesto de trabajo?"
"p29e","29E. En los últimos 12 meses, ¿se enteró de algún familiar o conocido que haya tenido que dar una mordida o soborno Para evitar una detención arbitraria?"
"p29f","29F. En los últimos 12 meses, ¿se enteró de algún familiar o conocido que haya tenido que dar una mordida o soborno Para poder establecer u operar un negocio?"
"p29g","29G. En los últimos 12 meses, ¿se enteró de algún familiar o conocido que haya tenido que dar una mordida o soborno Para evitar una multa?"
"p30","30. En general, ¿cómo calificaría la forma en que el Gobierno de Andrés Manuel López Obrador está combatiendo la corrupción?"
"p31","31. Si México fuera un país sin corrupción, ¿cree que los ingresos de su hogar serían mayores o menores?"
"p32a","32A. ¿Qué tanto diría que la corrupción de gobernantes y políticos lo afectan a usted y a su familia en los siguientes aspectos? Los servicios públicos que reciben"
"p32b","32B. ¿Qué tanto diría que la corrupción de gobernantes y políticos lo afectan a usted y a su familia en los siguientes aspectos? Los trámites que suelen realizar"
